ordre;stop_point;nom;temps_jusqua_Campus_min
1;stop_point:SYTNEX:848;12;
2;stop_point:SYTNEX:43195;Tour Salvagny Chambettes;13;8
3;stop_point:SYTNEX:30430;Les Granges;11;7
4;stop_point:SYTNEX:1461;La Tour de Salvagny;9;6
5;stop_point:SYTNEX:3117;Veyrie;8;5
6;stop_point:SYTNEX:2048;Montcourant;7;4 observer 7
7;stop_point:SYTNEX:1744;Les Peupliers - RN 3;3;
8;stop_point:SYTNEX:1532;Le Chêne Rond;2;
9;stop_point:SYTNEX:44279;Charbonnières Verrières;1;
10;stop_point:SYTNEX:95;Avenue de la Paix;0;
11;stop_point:SYTNEX:2010;Campus Région numérique;-1;
12;stop_point:SYTNEX:47785;Les Halles 102;-3;
14;stop_point:SYTNEX:40535;Montcelard;-4;
15;stop_point:SYTNEX:2947;Tassin Combattants;-5;
16;stop_point:SYTNEX:40625;Clotilde;-6;
17;stop_point:SYTNEX:3040;Valvert;-7;
18;stop_point:SYTNEX:3014;Trois Renards;-8;
19;stop_point:SYTNEX:714;Demi-Lune Clémenceau;
20;stop_point:SYTNEX:720;Demi-Lune Vauboin;
21;stop_point:SYTNEX:849;Horaires de l'arrêt;
22;stop_point:SYTNEX:2086;Montribloud;
23;stop_point:SYTNEX:10302;La Vallonnière;
24;stop_point:SYTNEX:30575;Gorge de Loup;
